"CustomerID","TotalSpend","Segment"
12346,154367.2,"High value"
12347,4310,"High value"
12348,1797.24,"High value"
12349,1757.55,"High value"
12350,334.4,"Low value"
12352,3466.67,"High value"
12353,89,"Low value"
12354,1079.4,"Medium value"
12355,459.4,"Low value"
12356,2811.43,"High value"
12357,6207.67,"High value"
12358,1168.06,"Medium value"
12359,6499.63,"High value"
12360,2662.06,"High value"
12361,189.9,"Low value"
12362,5297.88,"High value"
12363,552,"Low value"
12364,1313.1,"Medium value"
12365,962.07,"Medium value"
12367,168.9,"Low value"
12370,3545.69,"High value"
12371,1887.96,"High value"
12372,1298.04,"Medium value"
12373,364.6,"Low value"
12374,742.93,"Medium value"
12375,459.58,"Low value"
12377,1628.12,"Medium value"
12378,4008.62,"High value"
12379,854.19,"Medium value"
12380,2729.06,"High value"
12381,1886.66,"High value"
12383,1861.81,"High value"
12384,604.38,"Low value"
12386,401.9,"Low value"
12388,2780.66,"High value"
12390,549.84,"Low value"
12391,460.89,"Low value"
12393,1582.6,"Medium value"
12394,1272.48,"Medium value"
12395,3038.98,"High value"
12397,2409.9,"High value"
12398,1635.66,"Medium value"
12399,1108.65,"Medium value"
12401,84.3,"Low value"
12402,225.6,"Low value"
12403,445.7,"Low value"
12405,1710.39,"High value"
12406,3549.85,"High value"
12407,1708.12,"High value"
12408,2934.53,"High value"
12409,11088.41,"High value"
12410,705.58,"Medium value"
12412,1226.88,"Medium value"
12413,822.05,"Medium value"
12414,562.41,"Low value"
12415,126103.61,"High value"
12417,3719.4,"High value"
12418,668.58,"Low value"
12420,600.39,"Low value"
12421,807.81,"Medium value"
12422,803.56,"Medium value"
12423,1869.51,"High value"
12424,1760.96,"High value"
12425,777.2,"Medium value"
12426,582.73,"Low value"
12427,943.23,"Medium value"
12428,8035.72,"High value"
12429,3750.4,"High value"
12430,256.4,"Low value"
12431,6558.51,"High value"
12432,5059.32,"High value"
12433,13375.87,"High value"
12434,847.09,"Medium value"
12435,7829.89,"High value"
12436,509.01,"Low value"
12437,5006.16,"High value"
12438,2906.85,"High value"
12441,173.55,"Low value"
12442,172.06,"Low value"
12444,5005.46,"High value"
12445,133.4,"Low value"
12446,1002.31,"Medium value"
12447,476.49,"Low value"
12448,449.45,"Low value"
12449,4067.29,"High value"
12450,197.88,"Low value"
12451,9137.52,"High value"
12452,432.57,"Low value"
12453,707.09,"Medium value"
12454,7056.68,"High value"
12455,2466.86,"High value"
12456,3208.19,"High value"
12457,2808.68,"High value"
12458,947.4,"Medium value"
12461,826.88,"Medium value"
12462,1255.17,"Medium value"
12463,1385.93,"Medium value"
12464,1212.05,"Medium value"
12465,750.49,"Medium value"
12468,735.04,"Medium value"
12471,20907.18,"High value"
12472,6914.74,"High value"
12473,5028.87,"High value"
12474,7635.11,"High value"
12475,723.38,"Medium value"
12476,7086.26,"High value"
12477,13322.47,"High value"
12478,680.99,"Medium value"
12479,577.1,"Low value"
12480,3281.63,"High value"
12481,5601.78,"High value"
12483,2642.83,"High value"
12484,4588.17,"High value"
12488,1298.66,"Medium value"
12489,334.93,"Low value"
12490,5417.93,"High value"
12491,460.4,"Low value"
